CODE,ค่าแรง,ตำแหน่ง/แผนก,เพศ,Year,Quarter,Month,Day,วุฒิ,ศาสนา,สัญชาติ,อายุ,อายุงาน(เดือน),อายุงาน(ปี),อายุงาน(วัน),วันที่ลาออก,เหตุผล,สถานะ (groups)
A001,,อื่น ๆ สนง.,ญ,2549,Qtr 2,June,5,ป.ตรี,พุทธ,ไทย,45,5,16,21,0,ทำงาน,ทำงาน
A002,,การตลาด,ช,2549,Qtr 2,June,5,ม.3,พุทธ,ไทย,44,5,16,21,7/31/2563,กลับบ้าน,ลาออก
A003,,อื่น ๆ สนง.,ช,2549,Qtr 2,June,5,ป.ตรี,พุทธ,ไทย,45,5,16,21,0,ทำงาน,ทำงาน
A004,,อื่น ๆ สนง.,ญ,2546,Qtr 4,December,16,ม.3,พุทธ,ไทย,38,11,18,10,0,ทำงาน,ทำงาน
A005,,การตลาด,ญ,2554,Qtr 1,March,1,ปวช.,พุทธ,ไทย,43,8,11,25,0,ทำงาน,ทำงาน
A006,,อื่น ๆ สนง.,ญ,2551,Qtr 1,January,16,ป.ตรี,พุทธ,ไทย,43,10,14,10,0,ทำงาน,ทำงาน
A007,,อื่น ๆ สนง.,ญ,2558,Qtr 2,May,27,ปวส.,พุทธ,ไทย,42,5,7,20,0,ทำงาน,ทำงาน
A008,,อื่น ๆ สนง.,ช,2559,Qtr 4,December,1,ป.ตรี,พุทธ,ไทย,54,11,5,25,0,ทำงาน,ทำงาน
A009,,อื่น ๆ สนง.,ช,2559,Qtr 4,December,1,ป.ตรี,พุทธ,ไทย,49,11,5,25,0,ทำงาน,ทำงาน
A010,,การตลาด,ญ,2562,Qtr 3,July,1,ป.ตรี,พุทธ,ไทย,46,3,0,30,10/31/2562,ได้งานใหม่,ลาออก
A011,,การตลาด,ญ,2562,Qtr 4,December,16,ป.ตรี,พุทธ,ไทย,46,6,0,14,6/30/2563,ได้งานใหม่,ลาออก
A012,,การตลาด,ญ,2562,Qtr 1,February,1,ป.ตรี,พุทธ,ไทย,43,3,1,30,5/31/2563,ได้งานใหม่,ลาออก
A013,,การตลาด,ช,2563,Qtr 1,January,20,ม.6,พุทธ,ไทย,28,6,0,11,7/31/2563,ศึกษาต่อ,ลาออก
A014,,การตลาด,ช,2563,Qtr 3,August,3,ปวช.,พุทธ,ญี่ปุ่น,56,7,0,6,3/9/2564,ได้งานใหม่,ลาออก
A015,,การตลาด,ช,2563,Qtr 3,August,1,ป.ตรี,พุทธ,ไทย,46,3,2,25,0,ทำงาน,ทำงาน
A016,,การตลาด,ญ,2563,Qtr 3,August,1,ป.ตรี,พุทธ,ไทย,25,3,1,3,5/4/2564,ได้งานใหม่,ลาออก
B001,,ตกแต่ง,ญ,2553,Qtr 3,September,15,ม.6,พุทธ,ไทย,37,2,12,11,0,ทำงาน,ทำงาน
B002,,ตกแต่ง,ญ,2559,Qtr 3,August,16,ม.3,พุทธ,ไทย,42,3,6,10,ย้ายแผนก,ทำงาน,ทำงาน
B003,,ตกแต่ง,ญ,2561,Qtr 2,April,23,ม.3,พุทธ,ไทย,41,11,0,7,0,ทำงาน,ทำงาน
B004,,ตกแต่ง,ญ,2560,Qtr 3,September,11,'-,พุทธ,พม่า,28,2,5,15,0,ทำงาน,ทำงาน
B005,,ตกแต่ง,ญ,2560,Qtr 4,December,6,'-,พุทธ,พม่า,31,11,4,20,0,ทำงาน,ทำงาน
B006,,ตกแต่ง,ญ,2561,Qtr 1,January,16,'-,พุทธ,พม่า,35,4,3,2,5/18/2564,ได้งานใหม่,ลาออก
B007,,ตกแต่ง,ญ,2554,Qtr 2,April,18,ม.6,พุทธ,ไทย,29,7,11,8,0,ทำงาน,ทำงาน
B008,,ตกแต่ง,ญ,2562,Qtr 2,April,17,ม.3,พุทธ,ไทย,35,2,0,16,7/3/2562,กลับบ้าน,ลาออก
B009,,ตกแต่ง,ญ,2562,Qtr 2,June,28,'-,พุทธ,พม่า,24,4,3,29,0,ทำงาน,ทำงาน
B010,,ตกแต่ง,ญ,2562,Qtr 3,August,3,ปวช.,พุทธ,ไทย,24,3,3,23,0,ทำงาน,ทำงาน
B011,,ตกแต่ง,ญ,2562,Qtr 1,February,1,ป.ตรี,พุทธ,ไทย,43,3,1,30,5/31/2563,ได้งานใหม่,ลาออก
B012,,ตกแต่ง,ญ,2563,Qtr 2,June,1,ป.6,พุทธ,ไทย,20,1,0,6,7/7/2563,กลับบ้าน,ลาออก
B013,,ตกแต่ง,ญ,2563,Qtr 1,March,6,ม.3,พุทธ,ไทย,38,5,0,14,8/20/2563,ได้งานใหม่,ลาออก
B014,,ตกแต่ง,ญ,2563,Qtr 4,October,21,ม.3,พุทธ,ไทย,42,1,2,5,0,ทำงาน,ทำงาน
B015,,ตกแต่ง,ญ,2563,Qtr 4,November,17,'-,พุทธ,ลาว,43,0,2,9,0,ทำงาน,ทำงาน
B016,,ตกแต่ง,ญ,2563,Qtr 4,November,17,'-,พุทธ,ลาว,43,0,2,9,0,ทำงาน,ทำงาน
B017,,ตกแต่ง,ญ,2563,Qtr 4,November,25,ม.6,พุทธ,ไทย,33,0,2,1,0,ทำงาน,ทำงาน
B018,,ตกแต่ง,ญ,2563,Qtr 4,December,1,ม.3,พุทธ,ไทย,30,11,1,25,0,ทำงาน,ทำงาน
B019,,ตกแต่ง,ญ,2563,Qtr 4,December,11,'-,พุทธ,พม่า,28,5,0,6,5/17/2564,ได้งานใหม่,ลาออก
B020,,ตกแต่ง,ญ,2564,Qtr 1,January,9,ป.6,พุทธ,ไทย,31,2,0,22,3/31/2564,กฏระเบียบ,ลาออก
B021,,ตกแต่ง,ญ,2564,Qtr 1,January,9,ป.6,พุทธ,ไทย,28,0,0,22,1/31/2564,กฏระเบียบ,ลาออก
B022,,ตกแต่ง,ญ,2564,Qtr 1,January,21,ม.3,พุทธ,ไทย,21,10,1,5,0,ทำงาน,ทำงาน
B023,,ตกแต่ง,ญ,2564,Qtr 2,May,10,'-,พุทธ,พม่า,26,6,1,5,0,ทำงาน,ทำงาน
B024,,ตกแต่ง,ญ,2564,Qtr 2,May,10,'-,พุทธ,พม่า,34,6,1,5,0,ทำงาน,ทำงาน
B025,,ตกแต่ง,ญ,2554,Qtr 1,January,10,ม.3,พุทธ,ไทย,28,10,11,16,0,ทำงาน,ทำงาน
C001,,สโตร์,ญ,2561,Qtr 3,August,13,ม.6,พุทธ,ไทย,25,10,1,13,6/26/2563,กลับบ้าน,ลาออก
C002,,สโตร์,ญ,2561,Qtr 3,August,21,ม.3,พุทธ,ไทย,45,5,0,10,1/31/2562,ได้งานใหม่,ลาออก
C003,,สโตร์,ญ,2554,Qtr 1,January,10,ม.6,พุทธ,ไทย,26,10,11,16,0,ทำงาน,ทำงาน
C004,,สโตร์,ญ,2562,Qtr 1,March,25,ม.3,พุทธ,ไทย,20,0,0,2,3/27/2562,ทำไม่ได้,ลาออก
C005,,สโตร์,ญ,2562,Qtr 2,April,17,ม.6,พุทธ,ไทย,26,0,0,2,4/19/2562,ทำไม่ได้,ลาออก
C006,,สโตร์,ญ,2561,Qtr 4,October,24,ม.3,พุทธ,ไทย,35,1,4,2,0,ทำงาน,ทำงาน
C007,,สโตร์,ญ,2559,Qtr 3,August,16,ม.3,พุทธ,ไทย,42,0,4,21,9/6/2563,รักษาตัว,ลาออก
C008,,สโตร์,ญ,2563,Qtr 3,August,26,ม.6,พุทธ,ไทย,23,3,0,8,12/4/2563,กลับบ้าน,ลาออก
C009,,สโตร์,ญ,2563,Qtr 4,October,21,ม.3,พุทธ,ไทย,42,1,2,5,0,ทำงาน,ทำงาน
D001,,ขับรถส่งของ,ช,2561,Qtr 3,August,16,ม.3,พุทธ,ไทย,43,6,0,12,2/28/2562,กลับบ้าน,ลาออก
D002,,ขับรถส่งของ,ช,2558,Qtr 1,January,5,ป.ตรี,พุทธ,ไทย,30,10,7,21,0,ทำงาน,ทำงาน
D003,,ขับรถส่งของ,ช,2562,Qtr 1,March,19,ปวช.,พุทธ,ไทย,35,7,3,16,11/4/2565,กฏระเบียบ,ลาออก
D004,,ขับรถส่งของ,ช,2558,Qtr 1,January,5,ป.ตรี,พุทธ,ไทย,30,10,7,21,0,ทำงาน,ทำงาน
D005,,ขับรถส่งของ,ช,2565,Qtr 4,November,4,ปวส.,พุทธ,ไทย,45,0,0,22,0,ทำงาน,ทำงาน
E001,,คิวซี,ญ,2557,Qtr 2,June,3,ป.ตรี,พุทธ,ไทย,33,5,8,23,0,ทำงาน,ทำงาน
E002,,คิวซี,ช,2559,Qtr 3,September,8,ปวช.,พุทธ,ไทย,43,0,4,10,9/18/2563,กฏระเบียบ,ลาออก
E003,,คิวซี,ญ,2554,Qtr 1,January,10,ม.3,พุทธ,ไทย,28,10,11,16,0,ทำงาน,ทำงาน
E004,,คิวซี,ญ,2554,Qtr 1,January,10,ม.6,พุทธ,ไทย,26,10,11,16,0,ทำงาน,ทำงาน
E005,,คิวซี,ญ,2562,Qtr 1,February,1,ป.ตรี,พุทธ,ไทย,43,3,1,30,5/31/2563,ได้งานใหม่,ลาออก
E006,,คิวซี,ญ,2562,Qtr 2,April,17,ม.3,พุทธ,ไทย,35,2,0,16,7/3/2562,กลับบ้าน,ลาออก
E007,,คิวซี,ญ,2557,Qtr 2,April,28,ม.6,พุทธ,ไทย,50,5,6,18,10/16/2563,กลับบ้าน,ลาออก
E008,,คิวซี,ช,2559,Qtr 4,December,1,ป. ตรี,พุทธ,ไทย,54,11,5,25,0,ทำงาน,ทำงาน
E009,,คิวซี,ญ,2564,Qtr 4,November,29,ปวส.,พุทธ,ไทย,39,11,0,25,0,ทำงาน,ทำงาน
E010,,คิวซี,ญ,2565,Qtr 2,April,19,ปวส.,พุทธ,ไทย,24,7,0,7,0,ทำงาน,ทำงาน
F001,,แม่บ้าน,ญ,2561,Qtr 3,July,9,'-,พุทธ,ไทย,61,11,0,25,7/4/2562,ได้งานใหม่,ลาออก
F002,,แม่บ้าน,ญ,2561,Qtr 3,August,1,'-,พุทธ,ไทย,46,1,0,0,9/1/2561,ได้งานใหม่,ลาออก
F003,,แม่บ้าน,ญ,2561,Qtr 4,October,16,'-,พุทธ,ไทย,55,3,0,15,1/31/2562,ได้งานใหม่,ลาออก
F004,,แม่บ้าน,ญ,2562,Qtr 1,February,6,'-,พุทธ,ไทย,60,0,0,9,2/15/2562,ได้งานใหม่,ลาออก
F005,,แม่บ้าน,ญ,2562,Qtr 1,February,16,'-,พุทธ,ไทย,61,3,0,14,5/30/2562,ได้งานใหม่,ลาออก
F006,,แม่บ้าน,ญ,2562,Qtr 2,June,1,'-,พุทธ,ไทย,58,1,0,3,7/4/2562,ได้งานใหม่,ลาออก
F007,,แม่บ้าน,ญ,2562,Qtr 3,July,15,'-,พุทธ,ไทย,65,4,3,11,0,ทำงาน,ทำงาน
F008,,แม่บ้าน,ญ,2562,Qtr 3,July,15,'-,พุทธ,ไทย,65,4,3,11,0,ทำงาน,ทำงาน
G001,,กลึง,ช,2554,Qtr 3,August,15,ปวส.,พุทธ,ไทย,42,3,11,11,0,ทำงาน,ทำงาน
G002,,กลึง,ช,2554,Qtr 1,February,23,ป.6,พุทธ,ไทย,54,9,11,3,0,ทำงาน,ทำงาน
G003,,กลึง,ช,2557,Qtr 2,April,28,ม.6,พุทธ,ไทย,50,5,6,18,10/16/2563,กลับบ้าน,ลาออก
G004,,กลึง,ช,2558,Qtr 1,January,22,ป.ตรี,พุทธ,ไทย,31,10,7,4,0,ทำงาน,ทำงาน
G005,,กลึง,ช,2559,Qtr 4,October,10,ป.6,พุทธ,ไทย,29,1,6,16,0,ทำงาน,ทำงาน
G006,,กลึง,ญ,2554,Qtr 1,January,10,ม.6,พุทธ,ไทย,26,10,11,16,0,ทำงาน,ทำงาน
G007,,กลึง,ช,2557,Qtr 2,May,12,ม.6,พุทธ,ไทย,49,6,8,14,0,ทำงาน,ทำงาน
G008,,กลึง,ช,2557,Qtr 2,June,3,ป.ตรี,พุทธ,ไทย,30,5,7,17,11/20/2564,ได้งานใหม่,ลาออก
G009,,กลึง,ญ,2559,Qtr 1,January,5,ม.3,พุทธ,ไทย,29,7,3,15,8/20/2562,กฏระเบียบ,ลาออก
G010,,กลึง,ญ,2560,Qtr 1,January,20,ม.6,พุทธ,ไทย,34,5,3,21,7/11/2563,ได้งานใหม่,ลาออก
G011,,กลึง,ช,2554,Qtr 1,March,2,ปวช,พุทธ,ลาว,31,8,11,24,0,ทำงาน,ทำงาน
G012,,กลึง,ช,2556,Qtr 3,September,12,ปวช,พุทธ,ลาว,29,5,5,16,2/28/2562,ได้งานใหม่,ลาออก
G013,,กลึง,ช,2558,Qtr 1,February,5,ป.6,พุทธ,พม่า,38,9,7,21,0,ทำงาน,ทำงาน
G014,,กลึง,ญ,2559,Qtr 1,February,16,ป.6,พุทธ,พม่า,39,9,6,10,0,ทำงาน,ทำงาน
G015,,กลึง,ช,2556,Qtr 3,July,8,ป.6,พุทธ,พม่า,33,4,9,18,0,ทำงาน,ทำงาน
G016,,กลึง,ญ,2560,Qtr 2,April,27,ป.6,พุทธ,พม่า,29,6,5,30,0,ทำงาน,ทำงาน
G017,,กลึง,ญ,2561,Qtr 1,January,16,ป.6,พุทธ,พม่า,22,2,2,15,3/31/2564,กลับบ้าน,ลาออก
G018,331,กลึง,ญ,2561,Qtr 3,August,24,ม.3,พุทธ,ไทย,23,1,0,6,9/30/2561,กลับบ้าน,ลาออก
G019,331,กลึง,ญ,2561,Qtr 3,August,24,ม.3,พุทธ,ไทย,23,3,2,10,12/4/2563,กลับบ้าน,ลาออก
G020,331,กลึง,ญ,2561,Qtr 3,September,3,ม.3,พุทธ,ไทย,32,1,0,28,10/31/2561,กลับบ้าน,ลาออก
G021,331,กลึง,ญ,2561,Qtr 3,September,3,ป.6,พุทธ,ไทย,51,5,0,25,2/28/2562,กลับบ้าน,ลาออก
G022,,กลึง,ญ,2561,Qtr 4,October,24,ม.6,พุทธ,ไทย,35,1,4,2,0,ทำงาน,ทำงาน
G023,,กลึง,ช,2562,Qtr 1,February,1,ม.6,พุทธ,ไทย,35,5,1,30,7/31/2563,ได้งานใหม่,ลาออก
G024,331,กลึง,ช,2562,Qtr 1,February,11,ม.6,พุทธ,ไทย,29,0,0,1,2/12/2562,กลับบ้าน,ลาออก
G025,331,กลึง,ช,2562,Qtr 1,February,15,ม.3,พุทธ,ไทย,29,0,0,13,2/28/2562,กลับบ้าน,ลาออก
G026,,กลึง,ช,2562,Qtr 2,June,18,ม.6,พุทธ,ไทย,23,9,2,21,4/8/2565,กฏระเบียบ,ลาออก
G027,331,กลึง,ญ,2562,Qtr 1,March,19,ป.6,พุทธ,ไทย,51,0,1,16,4/4/2563,กฏระเบียบ,ลาออก
G028,331,กลึง,ช,2562,Qtr 1,March,19,ม.6,พุทธ,ไทย,34,0,1,12,3/31/2563,กฏระเบียบ,ลาออก
G029,331,กลึง,ช,2562,Qtr 2,April,17,ม.3,พุทธ,ไทย,22,6,0,14,10/31/2562,กลับบ้าน,ลาออก
G030,331,กลึง,ช,2562,Qtr 2,April,17,ม.3,พุทธ,ไทย,37,2,0,16,7/3/2562,กลับบ้าน,ลาออก
G031,331,กลึง,ช,2562,Qtr 2,May,14,ป.6,พุทธ,พม่า,23,6,3,12,0,ทำงาน,ทำงาน
G032,331,กลึง,ช,2562,Qtr 2,June,25,ม.3,พุทธ,ไทย,26,0,0,15,7/10/2562,กลับบ้าน,ลาออก
G033,331,กลึง,ช,2562,Qtr 3,July,8,ม.6,พุทธ,ไทย,40,0,0,7,7/15/2562,กลับบ้าน,ลาออก
G034,331,กลึง,ช,2562,Qtr 3,August,5,ปวส.,พุทธ,ไทย,34,3,3,21,0,ทำงาน,ทำงาน
G035,331,กลึง,ช,2562,Qtr 3,August,1,ป.6,พุทธ,ไทย,21,9,1,13,5/14/2564,ได้งานใหม่,ลาออก
G036,331,กลึง,ช,2562,Qtr 3,August,1,ม.3,พุทธ,ไทย,30,5,0,30,10/31/2563,ได้งานใหม่,ลาออก
G037,331,กลึง,ช,2562,Qtr 3,August,13,ม.3,พุทธ,ไทย,28,10,0,9,6/22/2563,ได้งานใหม่,ลาออก
G038,331,กลึง,ช,2562,Qtr 3,August,13,ม.3,พุทธ,ไทย,21,11,0,18,7/31/2563,ได้งานใหม่,ลาออก
G039,331,กลึง,ช,2562,Qtr 3,August,1,ม.3,พุทธ,ไทย,40,3,3,25,0,ทำงาน,ทำงาน
G040,,กลึง,ช,2562,Qtr 3,September,2,ป.6,พุทธ,พม่า,32,9,0,28,6/30/2563,ได้งานใหม่,ลาออก
G041,331,กลึง,ช,2562,Qtr 3,September,23,ป.6,พุทธ,พม่า,30,9,0,7,6/30/2563,ได้งานใหม่,ลาออก
G042,,กลึง,ช,2562,Qtr 3,September,19,ป.ตรี,พุทธ,ไทย,25,6,0,1,3/20/2563,ได้งานใหม่,ลาออก
G043,331,กลึง,ช,2562,Qtr 3,September,25,ป.6,พุทธ,ไทย,29,4,0,11,2/5/2563,ได้งานใหม่,ลาออก
G044,,กลึง,ช,2560,Qtr 3,July,6,ปวส.,พุทธ,ไทย,29,10,2,25,5/31/2563,ได้งานใหม่,ลาออก
G045,331,กลึง,ญ,2563,Qtr 2,June,1,ป.6,พุทธ,ไทย,20,1,0,30,7/31/2563,กลับบ้าน,ลาออก
G046,331,กลึง,ญ,2563,Qtr 3,July,1,ป.6,พุทธ,ลาว,26,4,2,25,0,ทำงาน,ทำงาน
G047,,กลึง,ช,2563,Qtr 3,July,20,ม.3,พุทธ,ไทย,42,4,2,6,0,ทำงาน,ทำงาน
